host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,security_deposit,cleaning_fee,minimum_nights,availability_30,availability_60,availability_90,availability_365,instant_bookable,cancellation_policy
within a day,83%,100%,f,1,"['email', 'phone', 'reviews']",t,f,Roslindale,42.2864482,-71.13932539,t,House,Private room,2,1,1,1,Real Bed,"{TV,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Safety Card"",Essentials,""Lock on Bedroom Door"",""Hair Dryer"",""translation missing: en.hosting_amenity_50""}",$60.00 ,,$30.00 ,1,16,38,68,343,f,flexible
within an hour,100%,89%,t,2,"['email', 'phone', 'reviews', 'kba']",t,t,Roslindale,42.28194183,-71.1333719,t,House,Private room,1,1,1,1,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",""Free Parking on Premises"",""Pets Allowed"",""Pets live on this property"",Cat(s),Heating,Washer,Dryer,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",$57.00 ,,$40.00 ,1,6,36,66,341,f,flexible
within a few hours,100%,100%,f,2,"['email', 'phone', 'reviews']",t,f,Roslindale,42.29172341,-71.13155602,t,Condominium,Entire home/apt,4,1,2,2,Real Bed,"{""Cable TV"",""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Dog(s),Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$93.00 ,,$40.00 ,1,0,0,0,0,t,flexible
within an hour,100%,97%,f,1,"['email', 'phone', 'reviews', 'kba']",t,t,Roslindale,42.28764103,-71.12988287,t,Apartment,Entire home/apt,5,1,2,3,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$150.00 ,,$50.00 ,2,8,17,39,129,f,moderate
within a day,75%,100%,f,1,"['email', 'phone', 'reviews', 'kba']",t,t,Roslindale,42.28626474,-71.13706513,t,House,Entire home/apt,2,1.5,2,2,Real Bed,"{Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",$145.00 ,$500.00 ,$150.00 ,3,11,14,44,319,f,moderate
within an hour,100%,79%,f,2,"['email', 'phone', 'facebook', 'reviews']",t,f,Roslindale,42.28145207,-71.12925004,t,Apartment,Private room,1,0,1,1,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Breakfast,Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo}",$60.00 ,,,1,4,34,64,339,t,strict
within a few hours,100%,100%,f,1,"['email', 'phone', 'reviews']",t,f,Roslindale,42.27440801,-71.12529404,t,House,Private room,4,1,1,3,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Hot Tub"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher""}",$165.00 ,,$50.00 ,3,20,50,80,349,f,flexible
within a few hours,100%,100%,f,2,"['email', 'phone', 'reviews']",t,f,Roslindale,42.29181492,-71.13158793,t,Condominium,Private room,2,1,1,1,Real Bed,"{TV,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer,""Smoke Detector"",""Fire Extinguisher"",Essentials,Shampoo,""Lock on Bedroom Door"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$75.00 ,,$20.00 ,1,0,0,0,0,t,flexible
within a day,100%,100%,t,3,"['email', 'phone', 'reviews', 'kba']",t,t,Roslindale,42.28222476,-71.11518856,t,House,Private room,1,1,1,1,Real Bed,"{""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo}",$49.00 ,,,5,0,0,20,295,f,strict
within a day,100%,100%,t,3,"['email', 'phone', 'reviews', 'kba']",t,t,Roslindale,42.28280175,-71.11514509,f,House,Private room,2,1,1,1,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo}",$49.00 ,,,5,0,0,0,262,f,strict
within a few hours,100%,94%,t,3,"['email', 'phone', 'reviews', 'kba']",t,t,Roslindale,42.27964782,-71.13605873,t,Villa,Private room,1,2.5,1,1,Real Bed,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Buzzer/Wireless Intercom"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",$40.00 ,,,2,6,27,57,332,f,flexible
within an hour,100%,100%,f,1,"['email', 'phone', 'linkedin', 'reviews', 'kba']",t,t,Roslindale,42.29403534,-71.13223725,t,House,Entire home/apt,3,1,0,2,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$120.00 ,$150.00 ,$50.00 ,2,0,7,32,207,t,moderate
within an hour,100%,79%,f,2,"['email', 'phone', 'facebook', 'reviews']",t,f,Roslindale,42.28052813,-71.13084254,t,Apartment,Private room,2,0,1,1,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Breakfast,Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""Laptop Friendly Workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",$70.00 ,,,1,0,0,24,299,t,strict
within a day,100%,63%,f,1,"['email', 'phone', 'reviews', 'kba']",t,t,Roslindale,42.27838291,-71.1287801,f,House,Entire home/apt,8,1,3,5,Real Bed,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Shampoo}",$150.00 ,$150.00 ,$100.00 ,3,0,0,0,0,f,flexible
N/A,N/A,N/A,f,1,"['email', 'reviews']",t,f,Roslindale,42.27683095,-71.12955974,t,House,Entire home/apt,5,3.5,4,3,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials}",$175.00 ,$500.00 ,$100.00 ,14,0,0,0,0,f,moderate
within an hour,100%,92%,t,2,"['email', 'phone', 'reviews', 'kba']",t,t,Roslindale,42.29090393,-71.13023771,t,House,Private room,2,1.5,1,1,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",Breakfast,""Pets live on this property"",Cat(s),""Other pet(s)"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$95.00 ,,$10.00 ,1,0,0,0,1,f,moderate
within an hour,100%,100%,f,1,"['email', 'phone', 'reviews']",t,f,Roslindale,42.29151999,-71.13185777,t,Apartment,Private room,2,1,1,1,Real Bed,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Cat(s),Heating,Washer,Dryer,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",$90.00 ,,,1,0,0,0,122,f,strict
within a few hours,100%,100%,t,1,"['email', 'phone', 'reviews', 'kba']",t,t,Roslindale,42.28907107,-71.12823296,t,House,Private room,2,1,1,1,Real Bed,"{""Wireless Internet"",""Free Parking on Premises"",Heating,""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,Iron,""Laptop Friendly Workspace""}",$95.00 ,,$15.00 ,2,8,16,37,107,f,moderate
within a day,60%,100%,f,1,"['email', 'phone', 'reviews', 'jumio']",t,t,Roslindale,42.29223824,-71.13449706,t,Apartment,Private room,2,1,1,2,Real Bed,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Breakfast,Heating,""Family/Kid Friendly""}",$100.00 ,,,1,21,51,81,356,f,flexible
within an hour,100%,89%,t,2,"['email', 'phone', 'reviews', 'kba']",t,t,Roslindale,42.28208581,-71.13334868,t,House,Private room,2,1,1,1,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",""Free Parking on Premises"",""Pets Allowed"",""Pets live on this property"",Cat(s),Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo}",$67.00 ,,$40.00 ,1,0,5,35,310,f,flexible
within a few hours,95%,100%,f,1,"['email', 'phone', 'reviews', 'kba']",t,t,Roslindale,42.28456151,-71.11972634,t,Condominium,Private room,1,1,1,1,Real Bed,"{TV,""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Buzzer/Wireless Intercom"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,Shampoo,Hangers,Iron,""Laptop Friendly Workspace""}",$55.00 ,,,1,0,0,0,129,f,flexible
within an hour,100%,100%,f,1,"['email', 'phone', 'reviews', 'kba']",t,t,Roslindale,42.27696862,-71.11775586,t,Apartment,Entire home/apt,6,1,2,2,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron}",$200.00 ,$200.00 ,$85.00 ,2,21,48,78,353,t,strict
N/A,N/A,N/A,f,1,"['email', 'phone', 'reviews', 'kba']",t,t,Roslindale,42.28922069,-71.13071327,t,Apartment,Entire home/apt,4,1,1,2,Real Bed,"{TV,""Wireless Internet"",""Air Conditioning"",Kitchen,Breakfast,Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",Essentials,Shampoo,""Lock on Bedroom Door"",""Hair Dryer"",Iron}",$150.00 ,,,1,0,0,3,17,t,flexible
within a day,100%,100%,t,3,"['email', 'phone', 'reviews', 'kba']",t,t,Roslindale,42.28228163,-71.11681747,t,House,Private room,1,1,1,1,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo}",$49.00 ,,,5,0,20,50,325,f,strict
within a few hours,100%,71%,f,1,"['email', 'phone', 'reviews']",t,f,Roslindale,42.27691292,-71.12823284,t,House,Private room,1,1.5,1,1,Real Bed,"{TV,""Cable TV"",""Wireless Internet"",Kitchen,""Free Parking on Premises"",Breakfast,Washer,Dryer}",$75.00 ,,,1,27,57,87,362,f,flexible
within an hour,100%,95%,f,2,"['email', 'phone', 'reviews', 'jumio']",t,t,Roslindale,42.28967076,-71.13728641,t,House,Entire home/apt,4,1,1,2,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Pets live on this property"",Dog(s),Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Hangers,""Laptop Friendly Workspace""}",$110.00 ,,$25.00 ,3,7,16,25,300,f,strict
within a few hours,100%,100%,f,1,"['email', 'phone', 'facebook', 'reviews']",t,f,Roslindale,42.28960322,-71.13336749,f,Apartment,Private room,2,1,1,1,Real Bed,"{TV,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",$115.00 ,$200.00 ,$35.00 ,1,19,46,76,351,f,strict
within an hour,98%,96%,f,5,"['email', 'phone', 'reviews', 'jumio', 'kba']",t,t,Roslindale,42.2791761,-71.1327718,t,House,Entire home/apt,16,1,3,5,Real Bed,"{TV,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$125.00 ,$250.00 ,$50.00 ,1,26,51,81,351,f,strict
within an hour,98%,96%,f,5,"['email', 'phone', 'reviews', 'jumio', 'kba']",t,t,Roslindale,42.28214228,-71.12904915,t,House,Entire home/apt,16,2.5,3,7,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$200.00 ,$250.00 ,$50.00 ,1,18,38,68,343,f,strict
within a few hours,100%,100%,t,2,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,t,Roslindale,42.28174852,-71.14031784,t,House,Private room,2,2,1,1,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",""Free Parking on Premises"",Breakfast,""Pets live on this property"",Dog(s),""Indoor Fireplace"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$75.00 ,,$10.00 ,1,26,56,86,361,f,moderate
within a few hours,100%,100%,f,1,"['email', 'phone', 'reviews', 'kba']",t,t,Roslindale,42.2756372,-71.12480042,t,House,Private room,1,1,1,1,Real Bed,"{""Family/Kid Friendly"",""translation missing: en.hosting_amenity_49""}",$78.00 ,$500.00 ,$25.00 ,3,4,34,64,339,t,flexible
within a few hours,100%,100%,f,1,"['email', 'phone', 'reviews', 'jumio']",t,t,Roslindale,42.2875977,-71.13448153,t,Apartment,Private room,4,1,1,2,Real Bed,"{""Wireless Internet"",""Air Conditioning"",Kitchen,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,""Lock on Bedroom Door"",Hangers,""Laptop Friendly Workspace""}",$50.00 ,,$10.00 ,2,0,0,0,0,f,flexible
within a few hours,100%,71%,t,1,"['email', 'phone', 'reviews', 'jumio']",t,t,Roslindale,42.28997231,-71.13614632,t,Apartment,Private room,1,1,1,1,Real Bed,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo}",$60.00 ,,,1,20,50,80,355,f,flexible
within a few hours,100%,94%,t,3,"['email', 'phone', 'reviews', 'kba']",t,t,Roslindale,42.27896822,-71.13671456,t,House,Private room,1,1.5,1,1,Real Bed,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Buzzer/Wireless Intercom"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",$45.00 ,,,2,6,6,6,254,f,flexible
within a few hours,77%,89%,f,2,"['email', 'phone', 'reviews']",t,f,Roslindale,42.28290546,-71.13267674,t,House,Entire home/apt,4,1,2,2,Real Bed,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,""Smoke Detector"",""First Aid Kit"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",$145.00 ,$446.00 ,$56.00 ,5,4,8,38,306,f,strict
within an hour,100%,83%,f,1,"['email', 'phone', 'reviews']",t,f,Roslindale,42.27636368,-71.13643293,t,House,Private room,2,2,1,1,Real Bed,"{""Wireless Internet"",Kitchen,Breakfast,Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$45.00 ,,,2,2,28,53,133,f,flexible
within an hour,100%,92%,t,2,"['email', 'phone', 'reviews', 'kba']",t,t,Roslindale,42.29110718,-71.13133846,t,House,Private room,2,1.5,1,1,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Cat(s),""Other pet(s)"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,Essentials,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$85.00 ,,$10.00 ,1,0,0,0,267,f,moderate
within a few hours,100%,100%,f,1,"['email', 'phone', 'reviews', 'kba']",t,t,Roslindale,42.27571563,-71.13013943,t,House,Private room,1,1,1,1,Real Bed,"{""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",""Free Parking on Premises"",""Pets live on this property"",Cat(s),Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$75.00 ,$200.00 ,$50.00 ,3,20,50,80,355,f,strict
within a few hours,100%,91%,f,1,"['email', 'phone', 'reviews', 'kba']",t,t,Roslindale,42.27493019,-71.13062801,t,House,Private room,2,2,1,1,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Pets live on this property"",Dog(s),Cat(s),Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$50.00 ,,,2,11,41,71,161,f,flexible
within a few hours,100%,94%,t,3,"['email', 'phone', 'reviews', 'kba']",t,t,Roslindale,42.28027891,-71.13586963,t,House,Private room,1,2.5,1,1,Real Bed,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Buzzer/Wireless Intercom"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",$45.00 ,,,2,0,0,0,260,f,flexible
within an hour,100%,67%,f,1,"['email', 'phone', 'reviews', 'jumio']",t,t,Roslindale,42.28556003,-71.1239987,t,House,Private room,2,1,1,1,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets live on this property"",Dog(s),Cat(s),Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",$60.00 ,,,2,0,0,0,248,f,moderate
within a few hours,90%,94%,t,1,"['email', 'phone', 'reviews', 'kba']",t,t,Roslindale,42.28702561,-71.13353879,t,Apartment,Entire home/apt,3,1,1,1,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$95.00 ,$250.00 ,$35.00 ,1,8,20,46,258,f,strict
"Boston, Massachusetts, United States","Bonjour 
Nous habitons à Boston aux Etats Unis. On est professeur dans un lycée dans un beau quartier près de Boston.
On voyage beaucoup et on adore parler les autres langues et moi, j'aime bien jouer du piano, lui  - aime jouer aux échecs!  On a fait plusieurs échanges de maisons, donc on comprend l'importance de respecter les biens des autrui.
On a préparé un livre avec tous les renseignements de la maison et de la région de la 
côte Est pour que les voyageurs profitent de ce beau pays.
A la maison il y a un choix de musique pour écouter et plein de livres.

",within a few hours,77%,Roslindale,2,2,"['email', 'phone', 'reviews']","Birch Street, Boston, MA 02131, United States",US,United States,42.28606773,-71.1323625,f,Apartment,Entire home/apt,2,1,0,1,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer,""Smoke Detector"",""First Aid Kit"",Essentials}",$837.00 ,"$2,790.00 ",2,yesterday,,19,43,,
